-9	5744
42	1553
119	577
26	420
54	415
94	280
158	260
29	219
21	217
40	209
58	190
101	184
1	146
38	141
84	139
152	130
36	129
61	116
169	116
122	114
113	92
82	87
173	86
172	85
124	79
108	77
102	74
64	72
151	67
62	66
55	65
35	65
87	62
123	53
105	53
3	52
177	50
25	47
106	47
75	46
31	45
147	45
80	42
65	41
190	40
157	37
90	35
188	33
112	32
15	30
33	28
137	27
132	26
27	24
117	24
76	22
30	22
129	22
83	21
77	21
16	21
14	21
39	17
121	16
120	16
23	15
2	15
8	14
43	14
17	14
159	14
73	13
22	13
139	13
180	12
170	12
148	12
56	11
37	11
175	11
168	11
93	10
66	10
186	10
184	10
181	10
153	10
32	9
163	9
149	9
110	9
96	8
9	8
143	8
140	8
125	8
99	7
89	7
71	7
59	7
41	7
183	7
178	7
85	6
74	6
160	6
95	5
28	5
165	5
162	5
100	5
97	4
79	4
5	4
48	4
45	4
44	4
24	4
171	4
164	4
155	4
146	4
134	4
10	4
92	3
81	3
4	3
19	3
187	3
166	3
161	3
114	3
104	3
103	3
70	2
7	2
63	2
6	2
53	2
49	2
47	2
34	2
185	2
182	2
142	2
131	2
126	2
115	2
111	2
function_or_field	1
91	1
86	1
78	1
69	1
52	1
50	1
156	1
150	1
144	1
130	1
127	1
12	1
109	1
