-9	4300
7920	291
7909	263
7895	183
7923	109
7931	100
7940	89
9183	88
8294	83
7801	83
9863	78
8796	74
7952	72
7897	72
7935	70
8904	65
7893	61
3375	61
7941	57
3659	57
3351	57
8948	54
1398	51
8602	50
3374	50
3360	48
8467	47
8456	47
8457	45
9631	44
9279	44
7928	44
7921	44
1287	44
9278	43
8782	43
876	41
8265	39
7099	39
8901	38
8266	38
8729	37
251	36
9466	34
8584	34
3373	34
9600	33
10170	33
8330	32
1319	32
9268	31
8315	31
7808	31
3423	31
3378	31
9858	30
9549	30
10249	30
7910	29
7754	29
1110	29
9499	28
8836	28
7889	28
3516	28
3436	28
7098	27
891	26
862	26
8541	26
7987	26
9892	25
9158	25
8800	25
8434	25
9086	24
7949	24
7772	24
7810	23
3492	23
253	23
246	23
8137	22
8099	22
8023	22
3662	22
3658	22
231	22
9856	20
8531	20
7768	20
3582	20
9864	19
9298	19
8986	19
10259	19
9070	18
8803	18
8047	18
8041	18
3679	18
3376	18
1253	18
9008	17
8949	17
885	17
8292	17
7908	17
3493	17
3408	17
2687	17
1405	17
10319	17
9907	16
9289	16
8963	16
8358	16
3497	16
2443	16
1469	16
10067	16
8983	15
8899	15
8478	15
8287	15
803	15
7953	15
7933	15
7817	15
243	15
8759	14
853	14
852	14
7811	14
7454	14
2870	14
10871	14
9081	13
8643	13
7842	13
7813	13
3496	13
2877	13
2702	13
232	13
2250	13
9935	12
9392	12
8603	12
8205	12
8049	12
8011	12
3356	12
9978	11
9875	11
9439	11
8981	11
8829	11
8786	11
8693	11
8229	11
7932	11
7100	11
7091	11
618	11
5444	11
3850	11
3427	11
2201	11
10610	11
10019	11
9605	10
9098	10
8498	10
8280	10
8182	10
7844	10
7796	10
581	10
4785	10
3495	10
234	10
228	10
1183	10
10468	10
104	10
9841	9
9556	9
9502	9
9420	9
9391	9
9282	9
9227	9
9012	9
8768	9
8612	9
8575	9
849	9
846	9
8395	9
838	9
8339	9
8288	9
7994	9
7859	9
716	9
5030	9
3368	9
3354	9
2873	9
2712	9
255	9
2542	9
237	9
2226	9
2189	9
11996	9
10730	9
10416	9
1040	9
10382	9
10251	9
9890	8
9865	8
9846	8
9465	8
9131	8
884	8
8750	8
8684	8
8496	8
8468	8
8430	8
8386	8
8234	8
8197	8
8131	8
7947	8
7892	8
7803	8
7769	8
583	8
5443	8
3897	8
3407	8
3399	8
3397	8
3392	8
2725	8
2678	8
2667	8
2655	8
1297	8
10798	8
10576	8
10327	8
9550	7
9477	7
9311	7
9307	7
9262	7
9027	7
8982	7
8960	7
8905	7
8710	7
857	7
8079	7
802	7
8002	7
7975	7
7901	7
7086	7
5511	7
5424	7
4089	7
3871	7
3632	7
3569	7
3482	7
3367	7
2875	7
2611	7
2598	7
256	7
2441	7
224	7
10792	7
10529	7
1029	7
1019	7
10049	7
9977	6
9910	6
9896	6
9881	6
9860	6
9618	6
9151	6
890	6
8827	6
8813	6
8795	6
8435	6
8262	6
826	6
8252	6
8242	6
8240	6
8222	6
8206	6
8167	6
